"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18004","Отправка коммента","firefox","Tue Dec 17 19:48:41 GMT 2024","passed","Tue Dec 17 19:48:59 GMT 2024","","academy.spec.js","",""
"","4326","Битая картинка","chromium","Tue Dec 17 19:46:33 GMT 2024","passed","Tue Dec 17 19:46:38 GMT 2024","","academy.spec.js","",""
"","4378","Битая картинка","firefox","Tue Dec 17 19:47:57 GMT 2024","passed","Tue Dec 17 19:48:01 GMT 2024","","academy.spec.js","",""
"","11521","Раскрытие описания","firefox","Tue Dec 17 19:49:00 GMT 2024","passed","Tue Dec 17 19:49:12 GMT 2024","","academy.spec.js","",""
"","6481","Смена валюты","chromium","Tue Dec 17 19:46:38 GMT 2024","passed","Tue Dec 17 19:46:44 GMT 2024","","academy.spec.js","",""
"","7715","Отправка коммента","webkit","Tue Dec 17 19:49:53 GMT 2024","passed","Tue Dec 17 19:50:01 GMT 2024","","academy.spec.js","",""
"","9231","Смена валюты","firefox","Tue Dec 17 19:48:01 GMT 2024","passed","Tue Dec 17 19:48:10 GMT 2024","","academy.spec.js","",""
"","10443","Отправка коммента","chromium","Tue Dec 17 19:47:15 GMT 2024","passed","Tue Dec 17 19:47:25 GMT 2024","","academy.spec.js","",""
"","11566","Раскрытие описания","chromium","Tue Dec 17 19:47:26 GMT 2024","passed","Tue Dec 17 19:47:37 GMT 2024","","academy.spec.js","",""
"","5536","Увеличение количества выдаваемых товаров","chromium","Tue Dec 17 19:46:27 GMT 2024","passed","Tue Dec 17 19:46:32 GMT 2024","","academy.spec.js","",""
"","30012","Фильтрация по цене","webkit","Tue Dec 17 19:52:34 GMT 2024","broken","Tue Dec 17 19:53:04 GMT 2024","","academy.spec.js","",""
"","5580","Увеличение количества выдаваемых товаров","firefox","Tue Dec 17 19:47:50 GMT 2024","passed","Tue Dec 17 19:47:56 GMT 2024","","academy.spec.js","",""
"","13833","Фильтрация по цене","firefox","Tue Dec 17 19:49:12 GMT 2024","passed","Tue Dec 17 19:49:25 GMT 2024","","academy.spec.js","",""
"","5096","Битая картинка","webkit","Tue Dec 17 19:49:41 GMT 2024","passed","Tue Dec 17 19:49:46 GMT 2024","","academy.spec.js","",""
"","30010","Раскрытие описания","webkit","Tue Dec 17 19:51:02 GMT 2024","broken","Tue Dec 17 19:51:32 GMT 2024","","academy.spec.js","",""
"","7601","Смена валюты","webkit","Tue Dec 17 19:49:46 GMT 2024","passed","Tue Dec 17 19:49:53 GMT 2024","","academy.spec.js","",""
"","12772","Фильтрация по цене","chromium","Tue Dec 17 19:47:37 GMT 2024","passed","Tue Dec 17 19:47:50 GMT 2024","","academy.spec.js","",""
"","12147","Увеличение количества выдаваемых товаров","webkit","Tue Dec 17 19:49:26 GMT 2024","passed","Tue Dec 17 19:49:39 GMT 2024","","academy.spec.js","",""
